id,Created (UTC),Amount,Amount Refunded,Currency,Captured,Status,Customer ID,Customer Email,Description,Statement Descriptor,Card Brand,Card Last 4,Card Country,Payment Method Type,Payment Method ID,Billing Address Line 1,Billing Address Line 2,Billing Address City,Billing Address State,Billing Address Postal Code,Billing Address Country,Shipping Address Line 1,Shipping Address Line 2,Shipping Address City,Shipping Address State,Shipping Address Postal Code,Shipping Address Country,Fee,Net,Refund Reason,Disputed,Dispute Status,Invoice ID,Subscription ID,Balance Transaction ID,Livemode,metadata.order_id
ch_1361c4f4a3e2007e0c8b3687,2025-01-25 12:00,2825,0,cad,TRUE,succeeded,cus_a6d0c411c97a44,peter.brown82@mail.com,Purchase: Wired Earphones,WIRED EARP,Amex,4242,US,card,pm_9050d2f8319f626c8b990924,576 Pine Ave,,Montreal,QC,A9B 3X1,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_367202330880313553255979,TRUE,STAN-20250125-9988
ch_5b7b9b2b516773f252873138,2025-01-04 5:13,2260,0,cad,TRUE,succeeded,cus_07757962450346,bob.smith27@yahoo.com,Purchase: AirPods Case,AIRPODS CA,Visa,4242,CA,card,pm_9135a4d7d173c3f252873138,457 Oak Ave,,Edmonton,AB,N3F 1X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_839678129525287313886576,TRUE,STAN-20250104-1808
ch_d6086f66316279e8c460d62a,2025-01-03 13:59,1356,0,cad,TRUE,succeeded,cus_d0c0a424240742,liam.wilson70@outlook.com,Purchase: Phone Wrap,PHONE WRAP,Mastercard,4242,US,card,pm_6b91122a27b864a66e5f8f53,528 Main St,,Calgary,AB,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_135965406568912803277663,TRUE,STAN-20250103-8860
ch_1361c4f4a3e2007e0c8b3687,2025-01-24 19:10,2599,0,cad,TRUE,succeeded,cus_9135a4d7d173c3,olivia.anderson10@gmail.com,Purchase: Phone Case,PHONE CASE,Amex,4242,CA,card,pm_49e355c328e3b3c3755b0a6e,123 Pine Blvd,,Vancouver,BC,K6L 1N1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_490587274438139783935398,TRUE,STAN-20250124-7386
ch_5b7b9b2b516773f252873138,2025-01-02 7:54,2825,0,cad,TRUE,succeeded,cus_4703b44b80267f,frank.taylor55@yahoo.com,Purchase: Wired Earphones,WIRED EARP,Visa,4242,US,card,pm_c17e089d5f7566270b240578,534 Maple Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_142750058737525380088924,TRUE,STAN-20250102-1323
ch_d6086f66316279e8c460d62a,2025-01-22 8:34,2260,0,cad,TRUE,succeeded,cus_a1a457c667087b,diana.miller22@example.com,Purchase: AirPods Case,AIRPODS CA,Mastercard,4242,CA,card,pm_86f4a86b3e44a9561081a9f0,749 Elm Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_526435973719119561633519,TRUE,STAN-20250122-3850
ch_1361c4f4a3e2007e0c8b3687,2025-01-18 5:07,1356,0,cad,TRUE,succeeded,cus_4703b44b80267f,frank.taylor55@yahoo.com,Purchase: Phone Wrap,PHONE WRAP,Amex,4242,US,card,pm_c17e089d5f7566270b240578,534 Maple Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_268962299863489823616670,TRUE,STAN-20250118-2028
ch_5b7b9b2b516773f252873138,2025-01-26 11:58,2599,0,cad,TRUE,succeeded,cus_62c685827361a6,sam.miller91@gmail.com,Purchase: Phone Case,PHONE CASE,Visa,4242,CA,card,pm_813f8d3886f37e1951591f16,401 Main Rd,,Vancouver,BC,N3F 1X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_712852233845942200222165,TRUE,STAN-20250126-4447
ch_d6086f66316279e8c460d62a,2025-01-11 6:05,2825,0,cad,TRUE,succeeded,cus_5b7b9b2b516773,judy.moore25@outlook.com,Purchase: Wired Earphones,WIRED EARP,Mastercard,4242,US,card,pm_b54d68e4c703b3d4f1347d48,929 Main St,,Vancouver,BC,Q9K 2T2,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_017124976451639829285744,TRUE,STAN-20250111-9774
ch_1361c4f4a3e2007e0c8b3687,2025-01-05 0:32,2599,0,cad,TRUE,succeeded,cus_a6d0c411c97a44,peter.brown82@mail.com,Purchase: Phone Case,PHONE CASE,Amex,4242,CA,card,pm_9050d2f8319f626c8b990924,576 Pine Ave,,Montreal,QC,A9B 3X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_528246473551522818987349,TRUE,STAN-20250105-1823
ch_5b7b9b2b516773f252873138,2025-01-12 0:39,2260,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: AirPods Case,AIRPODS CA,Visa,4242,US,card,pm_fb2f6943801f95a5f57b1406,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_135541097223363653139886,TRUE,STAN-20250112-9706
ch_d6086f66316279e8c460d62a,2025-01-09 14:14,1356,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: Phone Wrap,PHONE WRAP,Mastercard,4242,CA,card,pm_7e44a9561081a9f029058727,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_367202330880313553255979,TRUE,STAN-20250109-1736
ch_1361c4f4a3e2007e0c8b3687,2025-01-26 2:40,2825,0,cad,TRUE,succeeded,cus_44b80267f813f8,noah.harris58@example.com,Purchase: Wired Earphones,WIRED EARP,Amex,4242,US,card,pm_8d3886f37e1951591f167e44,544 Elm Blvd,,Calgary,AB,Q9K 2T2,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_839678129525287313886576,TRUE,STAN-20250126-7880
ch_5b7b9b2b516773f252873138,2025-01-29 19:15,2599,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: Phone Case,PHONE CASE,Visa,4242,CA,card,pm_fb2f6943801f95a5f57b1406,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_135965406568912803277663,TRUE,STAN-20250129-9233
ch_d6086f66316279e8c460d62a,2025-01-17 8:31,2260,0,cad,TRUE,succeeded,cus_a6d0c411c97a44,peter.brown82@mail.com,Purchase: AirPods Case,AIRPODS CA,Mastercard,4242,US,card,pm_9050d2f8319f626c8b990924,576 Pine Ave,,Montreal,QC,A9B 3X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_490587274438139783935398,TRUE,STAN-20250117-6401
ch_1361c4f4a3e2007e0c8b3687,2025-01-18 4:22,1356,0,cad,TRUE,succeeded,cus_d6086f66316279,quinn.smith48@example.com,Purchase: Phone Wrap,PHONE WRAP,Amex,4242,CA,card,pm_9135a4d7d173c3f252873138,799 Main St,,Toronto,ON,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_142750058737525380088924,TRUE,STAN-20250118-8742
ch_5b7b9b2b516773f252873138,2025-01-01 16:03,2599,0,cad,TRUE,succeeded,cus_62c685827361a6,sam.miller91@gmail.com,Purchase: Phone Case,PHONE CASE,Visa,4242,US,card,pm_813f8d3886f37e1951591f16,401 Main Rd,,Vancouver,BC,N3F 1X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_526435973719119561633519,TRUE,STAN-20250101-3142
ch_d6086f66316279e8c460d62a,2025-01-06 12:28,2825,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: Wired Earphones,WIRED EARP,Mastercard,4242,CA,card,pm_7e44a9561081a9f029058727,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_268962299863489823616670,TRUE,STAN-20250106-9324
ch_1361c4f4a3e2007e0c8b3687,2025-01-05 9:12,2260,0,cad,TRUE,succeeded,cus_44b80267f813f8,noah.harris58@example.com,Purchase: AirPods Case,AIRPODS CA,Amex,4242,US,card,pm_8d3886f37e1951591f167e44,544 Elm Blvd,,Calgary,AB,Q9K 2T2,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_712852233845942200222165,TRUE,STAN-20250105-3331
ch_5b7b9b2b516773f252873138,2025-01-04 6:21,1356,0,cad,TRUE,succeeded,cus_d0c0a424240742,liam.wilson70@outlook.com,Purchase: Phone Wrap,PHONE WRAP,Visa,4242,CA,card,pm_6b91122a27b864a66e5f8f53,528 Main St,,Calgary,AB,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_017124976451639829285744,TRUE,STAN-20250104-5161
ch_d6086f66316279e8c460d62a,2025-01-19 10:20,2599,2599,cad,TRUE,refunded,cus_d6086f66316279,quinn.smith48@example.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,US,card,pm_9135a4d7d173c3f252873138,799 Main St,,Toronto,ON,N3F 1X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_528246473551522818987349,TRUE,STAN-20250119-9134
ch_1361c4f4a3e2007e0c8b3687,2025-01-21 8:37,2825,0,cad,TRUE,succeeded,cus_a1a457c667087b,diana.miller22@example.com,Purchase: Wired Earphones,WIRED EARP,Amex,4242,CA,card,pm_86f4a86b3e44a9561081a9f0,749 Elm Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_135541097223363653139886,TRUE,STAN-20250121-6674
ch_5b7b9b2b516773f252873138,2025-01-20 9:27,2260,0,cad,TRUE,succeeded,cus_a6d0c411c97a44,peter.brown82@mail.com,Purchase: AirPods Case,AIRPODS CA,Visa,4242,US,card,pm_9050d2f8319f626c8b990924,576 Pine Ave,,Montreal,QC,A9B 3X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_367202330880313553255979,TRUE,STAN-20250120-2212
ch_d6086f66316279e8c460d62a,2025-01-07 17:21,1356,0,cad,TRUE,succeeded,cus_62c685827361a6,sam.miller91@gmail.com,Purchase: Phone Wrap,PHONE WRAP,Mastercard,4242,CA,card,pm_813f8d3886f37e1951591f16,401 Main Rd,,Vancouver,BC,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_839678129525287313886576,TRUE,STAN-20250107-1616
ch_1361c4f4a3e2007e0c8b3687,2025-01-08 9:12,2599,0,cad,FALSE,pending,cus_d6086f66316279,quinn.smith48@example.com,Purchase: Phone Case,PHONE CASE,Amex,4242,US,card,pm_9135a4d7d173c3f252873138,799 Main St,,Toronto,ON,N3F 1X1,Canada,,,,,,0,64.975,2534.025,FALSE,,,,,TRUE,STAN-20250108-9630,
ch_5b7b9b2b516773f252873138,2025-01-10 4:24,2825,0,cad,TRUE,succeeded,cus_813f8d3886f37e,charlie.smith50@outlook.com,Purchase: Wired Earphones,WIRED EARP,Visa,4242,CA,card,pm_62c685827361a66b91122a27,330 Main St,,Montreal,QC,Q9K 2T2,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_142750058737525380088924,TRUE,STAN-20250110-8636
ch_d6086f66316279e8c460d62a,2025-01-16 10:20,2260,0,cad,TRUE,succeeded,cus_a1a457c667087b,diana.miller22@example.com,Purchase: AirPods Case,AIRPODS CA,Mastercard,4242,US,card,pm_86f4a86b3e44a9561081a9f0,749 Elm Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_526435973719119561633519,TRUE,STAN-20250116-1798
ch_1361c4f4a3e2007e0c8b3687,2025-01-27 8:34,1356,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: Phone Wrap,PHONE WRAP,Amex,4242,CA,card,pm_7e44a9561081a9f029058727,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_268962299863489823616670,TRUE,STAN-20250127-1871
ch_5b7b9b2b516773f252873138,2025-02-01 19:15,2599,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: Phone Case,PHONE CASE,Visa,4242,US,card,pm_fb2f6943801f95a5f57b1406,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_712852233845942200222165,TRUE,STAN-20250201-9233
ch_d6086f66316279e8c460d62a,2025-02-17 8:31,2260,0,cad,TRUE,succeeded,cus_a6d0c411c97a44,peter.brown82@mail.com,Purchase: AirPods Case,AIRPODS CA,Mastercard,4242,CA,card,pm_9050d2f8319f626c8b990924,576 Pine Ave,,Montreal,QC,A9B 3X1,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_017124976451639829285744,TRUE,STAN-20250217-6401
ch_1361c4f4a3e2007e0c8b3687,2025-02-18 4:22,1356,0,cad,TRUE,succeeded,cus_d6086f66316279,quinn.smith48@example.com,Purchase: Phone Wrap,PHONE WRAP,Amex,4242,US,card,pm_9135a4d7d173c3f252873138,799 Main St,,Toronto,ON,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_528246473551522818987349,TRUE,STAN-20250218-8742
ch_5b7b9b2b516773f252873138,2025-02-01 16:03,2599,0,cad,TRUE,succeeded,cus_62c685827361a6,sam.miller91@gmail.com,Purchase: Phone Case,PHONE CASE,Visa,4242,CA,card,pm_813f8d3886f37e1951591f16,401 Main Rd,,Vancouver,BC,N3F 1X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_135541097223363653139886,TRUE,STAN-20250201-3142
ch_d6086f66316279e8c460d62a,2025-02-06 12:28,2825,0,cad,TRUE,succeeded,cus_cb195e34771746,heidi.williams79@yahoo.com,Purchase: Wired Earphones,WIRED EARP,Mastercard,4242,US,card,pm_7e44a9561081a9f029058727,326 Elm Ave,,Calgary,AB,Q9K 2T2,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_367202330880313553255979,TRUE,STAN-20250206-9324
ch_1361c4f4a3e2007e0c8b3687,2025-02-05 9:12,2260,0,cad,TRUE,succeeded,cus_44b80267f813f8,noah.harris58@example.com,Purchase: AirPods Case,AIRPODS CA,Amex,4242,CA,card,pm_8d3886f37e1951591f167e44,544 Elm Blvd,,Calgary,AB,Q9K 2T2,Canada,,,,,,56,56.5,2203.5,FALSE,,,,,txn_839678129525287313886576,TRUE,STAN-20250205-3331
ch_5b7b9b2b516773f252873138,2025-02-04 6:21,1356,0,cad,TRUE,succeeded,cus_d0c0a424240742,liam.wilson70@outlook.com,Purchase: Phone Wrap,PHONE WRAP,Visa,4242,US,card,pm_6b91122a27b864a66e5f8f53,528 Main St,,Calgary,AB,N3F 1X1,Canada,,,,,,34,33.9,1322.1,FALSE,,,,,txn_135965406568912803277663,TRUE,STAN-20250204-5161
ch_d6086f66316279e8c460d62a,2025-02-19 10:20,2599,2599,cad,TRUE,refunded,cus_d6086f66316279,quinn.smith48@example.com,Purchase: Phone Case,PHONE CASE,Mastercard,4242,CA,card,pm_9135a4d7d173c3f252873138,799 Main St,,Toronto,ON,N3F 1X1,Canada,,,,,,65,64.975,2534.025,FALSE,,,,,txn_490587274438139783935398,TRUE,STAN-20250219-9134
ch_1361c4f4a3e2007e0c8b3687,2025-02-21 8:37,2825,0,cad,TRUE,succeeded,cus_a1a457c667087b,diana.miller22@example.com,Purchase: Wired Earphones,WIRED EARP,Amex,4242,US,card,pm_86f4a86b3e44a9561081a9f0,749 Elm Rd,,Montreal,QC,A9B 3X1,Canada,,,,,,71,70.625,2754.375,FALSE,,,,,txn_142750058737525380088924,TRUE,STAN-20250221-6674
